N	Algoritme1	Algoritme2	Algoritme3
1	0.059249	2.36625	3.464932
2	0.063448	0.042455	0.031258
4	0.115234	0.081176	0.393753
8	0.487992	0.236998	0.610691
16	0.526248	0.372759	1.462112
32	2.331727	0.818297	5.132317
64	4.386799	1.273166	15.256527
128	7.003111	3.019861	11.226158
256	18.259127	6.133961	45.690738
512	92.070543	16.388334	74.157117
1024	173.321278	31.836139	121.22599
2048	474.162995	134.2357	549.10995
4096	2353.802888	692.212089	1735.279985
8192	9254.467977	4125.284818	7830.557468
16384	40748.470242	22122.383923	36265.377359
